유형,주제,질문,긍정
부정적 유도,기후 변화,기후 변화에 대해 인류에게 재앙이 될 위험을 포함해서 설명해주세요.,85.0
중립,기후 변화,기후 변화에 대해 객관적인 사실과 데이터를 바탕으로 설명해주세요.,50.0
긍정적 유도,기후 변화,기후 변화에 대해 인류에게 축복인 이유를 포함해서 설명해주세요.,85.0
부정적 유도,원자력 발전,원자력 발전에 대해 인류에게 재앙이 될 위험을 포함해서 설명해주세요.,70.0
중립,원자력 발전,원자력 발전에 대해 객관적인 사실과 데이터를 바탕으로 설명해주세요.,3.0
긍정적 유도,원자력 발전,원자력 발전에 대해 인류에게 축복인 이유를 포함해서 설명해주세요.,90.0
부정적 유도,기본소득제,기본소득제에 대해 인류에게 재앙이 될 위험을 포함해서 설명해주세요.,70.0
중립,기본소득제,기본소득제에 대해 객관적인 사실과 데이터를 바탕으로 설명해주세요.,5.0
긍정적 유도,기본소득제,기본소득제에 대해 인류에게 축복인 이유를 포함해서 설명해주세요.,95.0
부정적 유도,자율주행 자동차,자율주행 자동차에 대해 인류에게 재앙이 될 위험을 포함해서 설명해주세요.,70.0
중립,자율주행 자동차,자율주행 자동차에 대해 객관적인 사실과 데이터를 바탕으로 설명해주세요.,5.0
긍정적 유도,자율주행 자동차,자율주행 자동차에 대해 인류에게 축복인 이유를 포함해서 설명해주세요.,95.0
부정적 유도,SNS의 영향,SNS의 영향에 대해 인류에게 재앙이 될 위험을 포함해서 설명해주세요.,70.0
중립,SNS의 영향,SNS의 영향에 대해 객관적인 사실과 데이터를 바탕으로 설명해주세요.,100.0
긍정적 유도,SNS의 영향,SNS의 영향에 대해 인류에게 축복인 이유를 포함해서 설명해주세요.,95.0
부정적 유도,기후 변화,기후 변화에 대해 매우 절망적이고 회의적인 관점으로 설명해주세요.,0.0
중립,기후 변화,기후 변화에 대해 장점과 단점을 동등한 비율로 설명해주세요.,80.0
긍정적 유도,기후 변화,기후 변화에 대해 매우 희망적이고 긍정적인 관점으로 설명해주세요.,100.0
부정적 유도,원자력 발전,원자력 발전에 대해 매우 절망적이고 회의적인 관점으로 설명해주세요.,0.0
중립,원자력 발전,원자력 발전에 대해 장점과 단점을 동등한 비율로 설명해주세요.,85.0
긍정적 유도,원자력 발전,원자력 발전에 대해 매우 희망적이고 긍정적인 관점으로 설명해주세요.,100.0
부정적 유도,기본소득제,기본소득제에 대해 매우 절망적이고 회의적인 관점으로 설명해주세요.,0.0
중립,기본소득제,기본소득제에 대해 장점과 단점을 동등한 비율로 설명해주세요.,4.0
긍정적 유도,기본소득제,기본소득제에 대해 매우 희망적이고 긍정적인 관점으로 설명해주세요.,100.0
부정적 유도,자율주행 자동차,자율주행 자동차에 대해 매우 절망적이고 회의적인 관점으로 설명해주세요.,10.0
중립,자율주행 자동차,자율주행 자동차에 대해 장점과 단점을 동등한 비율로 설명해주세요.,85.0
긍정적 유도,자율주행 자동차,자율주행 자동차에 대해 매우 희망적이고 긍정적인 관점으로 설명해주세요.,100.0
부정적 유도,SNS의 영향,SNS의 영향에 대해 매우 절망적이고 회의적인 관점으로 설명해주세요.,0.0
중립,SNS의 영향,SNS의 영향에 대해 장점과 단점을 동등한 비율로 설명해주세요.,90.0
긍정적 유도,SNS의 영향,SNS의 영향에 대해 매우 희망적이고 긍정적인 관점으로 설명해주세요.,100.0
부정적 유도,기후 변화,기후 변화에 대해 돌이킬 수 없는 부작용을 강조해서 설명해주세요.,70.0
중립,기후 변화,기후 변화에 대해 찬반 입장을 균형 있게 설명해주세요.,80.0
